Time		Cap_one		Cap_two		Cap_three		Cap_four
  119.3292		5492774		2591766		1839841		2383854	
  119.5260		5502076		2592393		1799530		2381163	
  119.7261		5498993		2590407		1838280		2384338	
  119.9228		5503383		2589571		1788497		2389344	
  120.1243		5488750		2592864		1817506		2384500	
  120.3214		5509915		2590198		1821381		2386599	
  120.5215		5497111		2590146		1874125		2384984	
  120.7181		5507407		2591766		1769283		2384069	
  120.9187		5497373		2589153		1841079		2384177	
  121.1157		5501972		2587324		1829615		2384554	
  121.3156		5499777		2589310		1803889		2388214	
  121.5126		5504062		2592184		1826117		2383047	
  121.7092		5489011		2592968		1778325		2383154	
  121.9093		5495021		2589466		1800660		2387137	
  122.1069		5503226		2591975		1846407		2381809	
  122.3071		5503905		2592132		1851251		2385092	
  122.5032		5503958		2589623		1820251		2386599	
  122.7045		5500352		2592079		1816699		2385469	
  122.9013		5485510		2587951		1828108		2384231	
  123.1013		5505944		2590982		1829454		2389936	
  123.2978		5489325		2590616		1835482		2384446	
  123.4994		5498523		2589728		1867074		2383585	
  123.6959		5504951		2590616		1792533		2383854	
  123.8964		5505891		2589937		1822888		2383316	
  124.0948		5497791		2590930		1730587		2382616	
  124.2936		5494028		2590616		1737691		2383800	
  124.4903		5496171		2590564		1814815		2386114	
  124.6904		5495648		2590564		1852381		2390420	
  124.8871		5503226		2590825		1758681		2387783	
  125.0885		5492931		2587010		1809487		2382186	
  125.2842		5501763		2589048		1800822		2384607	
  125.4853		5499724		2590407		1794794		2388536	
  125.6822		5498052		2589101		1739198		2381325	
  125.8787		5511797		2591191		1781500		2388859	
  126.0789		5499724		2589780		1772136		2385576	
  126.2764		5501397		2592498		1849906		2384231	
  126.4766		5499672		2590459		1810186		2387998	
  126.6730		5501240		2587428		1838603		2386276	
  126.8765		5498470		2589780		1817237		2382509	
  127.0710		5495021		2591087		1832576		2386922	
  127.2716		5495491		2589205		1843501		2389613	
  127.4682		5485144		2591557		1869066		2382724	
  127.6691		5489272		2591296		1770198		2383477	
  127.8658		5508557		2589519		1807172		2386276	
  128.0657		5504742		2588265		1837204		2388160	
  128.2686		5498732		2592184		1857279		2385576	
  128.4626		5499515		2593177		1852328		2383746	
  128.6599		5497321		2589832		1752868		2383800	
  128.8602		5499934		2592759		1811047		2386760	
  129.0578		5504585		2588787		1798723		2388160	
  129.2575		5499097		2592079		1824449		2386276	
  129.4546		5500456		2589937		1857979		2386330	
  129.6513		5500038		2591557		1868151		2385146	
  129.8520		5493819		2589362		1854480		2386114	
  130.0483		5497059		2590825		1784084		2381217	
  130.2492		5495753		2590198		1808679		2386222	
  130.4454		5493714		2591348		1821758		2386545	
  130.6458		5507093		2589728		1797216		2380194	
  130.8434		5506153		2589048		1828754		2383962	
  131.0435		5509184		2590093		1867074		2385630	
  131.2398		5506623		2589310		1808087		2383101	
  131.4418		5500195		2591400		1799961		2382885	
  131.6383		5493558		2586331		1760564		2384769	
  131.8386		5505264		2591870		1815676		2388644	
  132.0357		5501710		2589257		1804751		2384661	
  132.2359		5504480		2590251		1711319		2380087	
  132.4322		5489272		2590041		1755344		2386599	
  132.6327		5502129		2591818		1787851		2386437	
  132.8318		5501188		2591400		1778433		2383316	
  133.0294		5496641		2590564		1775257		2381486	
  133.2266		5493610		2590825		1778486		2384500	
  133.4267		5497059		2590198		1814869		2383746	
  133.6242		5504219		2587167		1762717		2380840	
  133.8241		5490892		2590407		1827786		2380786	
  134.0216		5496902		2589989		1758573		2388429	
  134.2179		5499515		2586697		1793072		2386114	
  134.4182		5502337		2590146		1747217		2384984	
  134.6159		5499620		2590303		1744634		2382186	
  134.8163		5512424		2591662		1813846		2388644	
  135.0125		5490736		2591714		1846246		2385630	
  135.2134		5491467		2591243		1768261		2384069	
  135.4099		5503801		2592498		1802867		2385038	
  135.6108		5505578		2591975		1824556		2382670	
  135.8080		5508557		2590251		1772243		2385415	
  136.0079		5495439		2589832		1853189		2384877	
  136.2044		5497634		2590459		1870626		2386007	
  136.4049		5500926		2589571		1851413		2382562	
  136.6017		5504689		2591452		1907224		2387944	
  136.8021		5503644		2592184		1799907		2385415	
  136.9989		5492460		2590668		1808949		2385307	
  137.1992		5496641		2594013		1848775		2384661	
  137.3972		5494080		2592968		1832038		2387675	
  137.5976		5493505		2589885		1797539		2381970	
  137.7937		5488698		2592654		1824341		2386599	
  137.9935		5480911		2592393		1876654		2382885	
  138.1905		5499097		2592132		1821219		2384554	
  138.3894		5502756		2592498		1832683		2386922	
  138.5883		5503958		2588474		1790596		2384607	
  138.7845		5502129		2591870		1841402		2383800	
  138.9871		5498261		2591348		1841510		2380571	
  139.1824		5510543		2589048		1785752		2389505	
  139.3827		5498366		2591087		1859862		2383154	
  139.5793		5503905		2591557		1779348		2384285	
  139.7803		5489220		2585390		1792049		2384231	
  139.9772		5495962		2590773		1913844		2383531	
  140.1778		5494394		2590041		1864491		2384016	
  140.3737		5491676		2590930		1819013		2382778	
  140.5750		5503592		2591662		1775365		2392358	
  140.7717		5495282		2590564		1846084		2387514	
  140.9718		5500090		2590668		1783222		2384231	
  141.1686		5505578		2591034		1835320		2386922	
  141.3690		5506414		2590512		1847537		2385684	
  141.5659		5501240		2590093		1865890		2386222	
  141.7660		5495700		2591296		1818044		2387675	
  141.9631		5501345		2590721		1847484		2379872	
  142.1631		5511118		2592602		1867559		2384016	
  142.3603		5501972		2589519		1842748		2387406	
  142.5580		5491572		2587846		1787152		2384285	
  142.7581		5496746		2593125		1853296		2384823	
  142.9546		5495910		2588578		1856633		2382562	
  143.1560		5498575		2591714		1787474		2387944	
  143.3522		5496850		2588944		1827839		2381647	
  143.5522		5495178		2590982		1842371		2383854	
  143.7498		5484255		2590459		1845439		2388106	
  143.9520		5493924		2587585		1830746		2385361	
  144.1466		5494185		2590459		1846730		2385630	
  144.3470		5496380		2591557		1820305		2390044	
  144.5434		5497948		2592968		1908408		2381109	
  144.7449		5500195		2587533		1785913		2382831	
  144.9415		5500874		2592236		1800337		2381540	
  145.1417		5500352		2589414		1812555		2382616	
  145.3384		5500143		2590407		1855341		2386491	
  145.5427		5499620		2593020		1839734		2382885	
  145.7359		5496171		2589205		1842748		2383262	
  145.9359		5504637		2589832		1810563		2387137	
  146.1342		5491363		2589623		1838280		2388913	
  146.3328		5491572		2589885		1818313		2380087	
  146.5327		5507773		2589728		1855341		2383370	
  146.7263		5492774		2590512		1808625		2384554	
  146.9277		5492251		2587794		1830477		2384769	
  147.1241		5494812		2591870		1771544		2384500	
  147.3244		5503174		2591609		1886880		2385415	
  147.5220		5505316		2591087		1793717		2388267	
  147.7223		5506519		2591766		1828754		2387352	
  147.9190		5491624		2589728		1846030		2391389	
  148.1192		5498523		2590773		1747647		2382132	
  148.3159		5486868		2589937		1911745		2386599	
  148.5174		5502181		2591818		1856848		2382132	
  148.7138		5495491		2590146		1772082		2387191	
  148.9142		5499463		2588944		1774880		2387083	
  149.1110		5492094		2592027		1807711		2384123	
  149.3111		5497948		2587585		1822134		2381863	
  149.5079		5489952		2589676		1791403		2385522	
  149.7080		5506780		2592132		1748078		2387729	
  149.9056		5497268		2591400		1787905		2382024	
  150.1054		5485980		2590146		1810133		2384877	
  150.3030		5503278		2590198		1762986		2382132	
  150.5033		5497216		2588944		1789089		2386975	
  150.6997		5502912		2591296		1826332		2385146	
  150.8964		5510124		2591662		1858624		2388267	
  151.0976		5499411		2592236		1835105		2385092	
  151.2940		5499881		2590721		1789520		2380248	
  151.4943		5500561		2591243		1854373		2385307	
  151.6905		5509132		2591975		1856364		2383316	
  151.8920		5488541		2591034		1817021		2384016	
  152.0884		5500090		2588160		1825740		2382939	
  152.2886		5504585		2589466		1804535		2384984	
  152.4851		5502233		2590721		1821004		2383962	
  152.6867		5498261		2590825		1745441		2381916	
  152.8831		5490683		2591714		1755397		2387729	
  153.0836		5496485		2588682		1794902		2383423	
  153.2803		5498052		2588578		1795924		2379979	
  153.4806		5496746		2589728		1798884		2383316	
  153.6782		5498941		2592393		1855557		2384931	
  153.8796		5495387		2591034		1749639		2384338	
  154.0760		5505630		2591662		1826332		2382024	
  154.2747		5482217		2590512		1819390		2387406	
  154.4719		5494864		2588996		1761641		2386922	
  154.6730		5504062		2589832		1784514		2384823	
  154.8689		5497007		2593177		1877461		2383908	
  155.0667		5495021		2591714		1804105		2385361	
  155.2671		5506205		2589571		1828108		2382885	
  155.4631		5496014		2590355		1839572		2383316	
  155.6643		5491729		2590459		1768422		2382993	
  155.8629		5499777		2586488		1783869		2385038	
  156.0611		5504167		2590355		1773643		2383154	
  156.2585		5489743		2591609		1865944		2385576	
  156.4585		5503853		2587533		1779778		2385361	
  156.6552		5501763		2590198		1757174		2385361	
  156.8554		5497164		2589832		1814923		2381647	
  157.0532		5490788		2589989		1747809		2384607	
  157.2540		5495753		2592027		1811317		2386222	
  157.4496		5498052		2591139		1873317		2386545	
  157.6499		5499934		2588839		1851951		2383585	
  157.8467		5483105		2588892		1841241		2385199	
  158.0481		5485196		2589989		1850928		2387083	
  158.2439		5497634		2591504		1815245		2386814	
  158.4455		5501763		2588996		1843824		2382132	
  158.6518		5500299		2592393		1815353		2383639	
  158.8426		5495178		2591191		1812662		2386222	
  159.0399		5502808		2593229		1786398		2384715	
  159.2359		5498418		2589780		1894684		2386707	
  159.4362		5513678		2589362		1799315		2386437	
  159.6367		5495335		2588735		1801360		2387029	
  159.8333		5493767		2590564		1833867		2383531	
  160.0383		5500561		2591400		1849098		2383962	
  160.2307		5496693		2590825		1831123		2382724	
  160.4274		5501136		2589780		1834082		2384769	
  160.6287		5507668		2589571		1776011		2378364	
  160.8251		5495387		2590303		1893231		2390366	
  161.0257		5495230		2587846		1837635		2385307	
  161.2225		5503958		2591714		1818206		2387675	
  161.4231		5495230		2586853		1721276		2386384	
  161.6196		5499620		2589885		1767399		2380733	
  161.8199		5496432		2588735		1824879		2389559	
  162.0173		5500874		2591087		1851143		2389828	
  162.2179		5485091		2589414		1830907		2382885	
  162.4140		5505735		2591139		1787205		2387029	
  162.6142		5501867		2590198		1812716		2384338	
  162.8114		5495125		2591034		1792049		2380517	
  163.0117		5491938		2591662		1876385		2381916	
  163.2095		5489534		2590198		1855718		2379872	
  163.4057		5487757		2588212		1818259		2390205	
  163.6085		5496955		2591714		1808679		2387299	
  163.8025		5497477		2591557		1845385		2387299	
  164.0037		5476103		2592498		1816429		2383101	
  164.2007		5415009		2587115		1759219		2382724	
  164.4003		5346809		2587115		1838711		2382455	
  164.5984		5350676		2587951		1798077		2385576	
  164.7987		5354543		2582986		1796247		2383047	
  164.9943		5399697		2588996		1936018		2384984	
  165.1947		5492826		2587690		1859916		2386653	
  165.3914		5501136		2591818		1846354		2384338	
  165.5929		5481486		2590564		1805988		2384285	
  165.7895		5508243		2590668		1823211		2393811	
  165.9899		5495753		2591870		1865352		2387783	
  166.1867		5499986		2591766		1817936		2385953	
  166.3867		5501188		2591923		1875578		2384877	
  166.5837		5497373		2590773		1813147		2387729	
  166.7836		5493140		2593125		1924446		2386975	
  166.9817		5493662		2590668		1801091		2388321	
  167.1780		5492983		2590825		1886503		2385522	
  167.3819		5503853		2593281		1839195		2389720	
  167.5793		5512058		2589048		1877354		2385630	
  167.7754		5500090		2592341		1807119		2385576	
  167.9718		5499411		2590825		1826063		2385361	
  168.1730		5492199		2591034		1879507		2386707	
  168.3694		5496955		2589519		1918096		2386330	
  168.5706		5501292		2590616		1850874		2388160	
  168.7674		5500822		2590878		1902434		2386707	
  168.9678		5500352		2591348		1914867		2383800	
  169.1644		5501031		2590041		1847484		2393219	
  169.3657		5494969		2591557		1915674		2387029	
  169.5608		5497791		2588369		1861531		2389129	
  169.7628		5491049		2592654		1833760		2388859	
  169.9593		5497007		2588578		1881982		2386599	
  170.1595		5500613		2590303		1897913		2386222	
  170.3565		5502703		2591557		1884243		2387352	
  170.5568		5486137		2590459		1860239		2386222	
  170.7527		5495857		2592550		1894630		2384877	
  170.9506		5494080		2592602		1874447		2385361	
  171.1530		5495596		2589676		1828378		2387191	
  171.3607		5497268		2592079		1857064		2386168	
  171.5481		5504480		2589989		1874125		2383370	
  171.7444		5504742		2589937		1859539		2388429	
  171.9449		5476939		2590668		1810994		2388913	
  172.1420		5497634		2590459		1891239		2384285	
  172.3421		5492669		2592132		1805020		2387621	
  172.5388		5498941		2590878		1863791		2386168	
  172.7395		5493819		2591400		1811209		2384554	
  172.9361		5498261		2592811		1829454		2392142	
  173.1375		5497738		2590616		1864652		2385307	
  173.3427		5501083		2593438		1817344		2382293	
  173.5345		5500926		2590668		1844039		2385038	
  173.7315		5498888		2590251		1928160		2383047	
  173.9316		5493610		2590093		1804697		2382509	
  174.1280		5490945		2588996		1810671		2387998	
  174.3420		5480283		2588003		1791672		2387783	
  174.5255		5513260		2592968		1895007		2386330	
  174.7257		5502599		2594797		1845546		2385361	
  174.9242		5493140		2592602		1840756		2388644	
  175.1270		5498784		2590041		1869012		2385415	
  175.3199		5499515		2591714		1785913		2392142	
  175.5175		5497530		2590459		1846515		2390743	
  175.7193		5500090		2588369		1899904		2386276	
  175.9143		5502547		2590303		1882305		2387890	
  176.1143		5502703		2590982		1886127		2386114	
  176.3119		5497216		2591923		1877515		2381863	
  176.5119		5499202		2591243		1804804		2384715	
  176.7094		5504010		2591662		1854373		2385361	
  176.9095		5503331		2588578		1821812		2385307	
  177.1059		5501292		2587846		1793502		2385899	
  177.3062		5499724		2590616		1833975		2386007	
  177.5041		5502285		2589153		1832576		2384715	
  177.7043		5504010		2592289		1873048		2384715	
  177.9012		5497007		2591243		1847860		2386922	
  178.1013		5503801		2589623		1822350		2388429	
  178.2979		5499515		2589623		1774880		2388913	
  178.4982		5507407		2591714		1828754		2384177	
  178.6951		5496902		2586801		1883005		2384877	
  178.8952		5489586		2591714		1827409		2386437	
  179.0924		5487077		2590721		1857279		2385253	
  179.2929		5492774		2588630		1854911		2387568	
  179.4898		5498836		2588996		1869927		2387245	
  179.6860		5500299		2589571		1806096		2385792	
  179.8874		5502703		2591139		1835428		2383746	
  180.0839		5499359		2589310		1806957		2391066	
  180.2845		5503122		2591296		1839734		2386599	
  180.4807		5490004		2590041		1832899		2385469	
  180.6823		5490526		2591452		1908031		2388429	
  180.8785		5501345		2591400		1754429		2384016	
  181.0786		5498209		2592445		1863199		2384123	
  181.2768		5500456		2594327		1868796		2389129	
  181.4800		5491415		2589885		1823426		2383908	
  181.6743		5502024		2591087		1898828		2384069	
  181.8735		5493976		2592184		1857925		2387890	
  182.0705		5502285		2591818		1852758		2387998	
  182.2711		5501345		2591034		1831661		2386384	
  182.4677		5496537		2590564		1867666		2383154	
  182.6679		5506519		2590982		1845385		2381647	
  182.8651		5496641		2590721		1915781		2385092	
  183.0648		5498157		2591191		1790111		2385469	
  183.2622		5501031		2591870		1843339		2383477	
  183.4618		5498470		2590303		1876923		2387675	
  183.6593		5500718		2591870		1835374		2387621	
  183.8557		5497059		2588212		1857117		2387621	
  184.0572		5503958		2591400		1769229		2389990	
  184.2593		5495125		2593334		1860454		2383585	
  184.4553		5488070		2591296		1859055		2386384	
  184.6505		5492042		2593700		1827893		2384231	
  184.8519		5504167		2590303		1743181		2387621	
  185.0489		5492251		2590721		1840326		2384069	
  185.2487		5501345		2591609		1813846		2387191	
  185.4455		5496850		2589676		1922832		2383746	
  185.6458		5503331		2592445		1874986		2388375	
  185.8422		5499672		2589153		1834190		2386760	
  186.0438		5499620		2590878		1816645		2385522	
  186.2405		5492512		2593700		1817129		2391120	
  186.4419		5501345		2591662		1751146		2386545	
  186.6376		5495439		2594170		1742642		2385953	
  186.8376		5504637		2589101		1824664		2384016	
  187.0349		5502285		2593909		1792372		2387191	
  187.2374		5502129		2589780		1821542		2385953	
  187.4316		5488802		2592027		1831015		2386814	
  187.6281		5501815		2592550		1821596		2382562	
  187.8289		5491676		2591400		1812770		2381378	
  188.0257		5504480		2587742		1810402		2383531	
  188.2265		5495073		2589780		1803943		2386168	
  188.4228		5501397		2589153		1824987		2387029	
  188.6242		5490422		2589414		1811855		2385146	
  188.8205		5496119		2594013		1827409		2383370	
  189.0205		5495805		2595111		1866428		2382616	
  189.2181		5502965		2590407		1826655		2385038	
  189.4181		5495230		2591714		1848775		2382670	
  189.6151		5489377		2590878		1791511		2386060	
  189.8192		5512581		2592393		1858840		2381486	
  190.0119		5498575		2589989		1819013		2384607	
  190.2137		5497634		2589989		1815299		2384500	
  190.4091		5499568		2591296		1869981		2383370	
  190.6098		5493192		2588003		1838819		2385307	
  190.8067		5490109		2591504		1821435		2381863	
  191.0075		5502024		2590041		1870734		2386868	
  191.2040		5496066		2592184		1815138		2385146	
  191.4041		5497164		2588996		1843663		2384769	
  191.6013		5501815		2590878		1832522		2386168	
  191.7975		5502390		2592498		1854104		2384607	
  191.9992		5484099		2590198		1848829		2390312	
  192.1955		5499045		2591504		1875416		2385092	
  192.3975		5498732		2589832		1836128		2386922	
  192.5942		5498627		2592236		1876062		2384338	
  192.7928		5497948		2591296		1842263		2387783	
  192.9941		5513835		2590668		1862930		2390312	
  193.1902		5515559		2590041		1814546		2386814	
  193.3871		5504742		2592550		1826871		2390851	
  193.5881		5500352		2588892		1837958		2388160	
  193.7847		5498418		2589832		1826063		2388483	
  193.9850		5494080		2591504		1868689		2387998	
  194.1818		5487704		2591609		1855341		2390366	
  194.3833		5493558		2592079		1820466		2388267	
  194.5897		5508400		2590668		1844685		2384607	
  194.7800		5498941		2591766		1826171		2384069	
  194.9765		5494342		2587533		1847107		2389882	
  195.1768		5506153		2590878		1859378		2390958	
  195.3733		5494551		2590668		1899635		2387406	
  195.5747		5489795		2591609		1898774		2384392	
  195.7719		5494812		2590721		1777141		2388106	
  195.9719		5495335		2589728		1864814		2381863	
  196.1688		5494446		2592550		1829454		2386599	
  196.3654		5497373		2592027		1879184		2388321	
  196.5661		5504898		2590459		1847430		2390635	
  196.7623		5486921		2590616		1792264		2388805	
  196.9626		5492199		2590668		1834190		2385092	
  197.1601		5492512		2592445		1898021		2386222	
  197.3601		5493505		2590512		1871918		2384069	
  197.5564		5512790		2590616		1839465		2381271	
  197.7577		5507302		2591034		1797431		2385469	
  197.9543		5502129		2590093		1870196		2387460	
  198.1553		5499202		2591557		1813792		2389505	
  198.3520		5500770		2590878		1833867		2381970	
  198.5520		5503749		2588265		1871541		2386060	
  198.7485		5493767		2589466		1831176		2386007	
  198.9501		5497530		2590407		1829992		2384231	
  199.1590		5496589		2589362		1861638		2386545	
  199.3462		5496223		2588212		1818367		2388052	
  199.5427		5494655		2593543		1802544		2384661	
  199.7437		5483994		2590512		1841510		2387352	
  199.9415		5500613		2588892		1853673		2387783	
  200.1415		5497059		2590930		1799530		2384769	
  200.3401		5494133		2590093		1847753		2385146	
  200.5387		5499202		2590773		1794256		2385899	
  200.7361		5497686		2590303		1826871		2386599	
  200.9371		5497530		2588369		1835267		2380302	
  201.1331		5493714		2592236		1717562		2386007	
  201.3297		5498575		2590459		1879507		2386653	
  201.5298		5497477		2590198		1828162		2387137	
  201.7261		5497007		2590355		1902488		2385092	
  201.9291		5503958		2591504		1895545		2386437	
  202.1243		5497373		2592132		1737314		2386276	
  202.3257		5488018		2589153		1846676		2385953	
  202.5216		5502233		2592707		1835858		2382293	
  202.7258		5500561		2589205		1789412		2388106	
  202.9179		5493297		2591400		1866482		2386222	
  203.1199		5494969		2590825		1831714		2386760	
  203.3161		5493140		2592079		1882790		2379656	
  203.5164		5504062		2590773		1782146		2385522	
  203.7132		5495021		2590459		1855288		2385792	
  203.9138		5492512		2590407		1802544		2388052	
  204.1144		5499881		2592707		1870896		2385146	
  204.3109		5496014		2590251		1853404		2386922	
  204.5086		5494655		2590303		1860724		2382993	
  204.7096		5493871		2587951		1866644		2389290	
  204.9051		5500038		2590773		1864975		2387029	
  205.1080		5499411		2592393		1802598		2384177	
  205.3024		5500247		2590878		1934780		2379441	
  205.4984		5488332		2590930		1902595		2382831	
  205.6989		5496066		2591034		1854157		2383047	
  205.8965		5504794		2592184		1922455		2388590	
  206.0970		5499568		2589414		1837312		2385845	
  206.2933		5509602		2591975		1900066		2385899	
  206.4941		5502129		2591296		1838334		2380356	
  206.6926		5496641		2588160		1855611		2388644	
  206.8914		5490997		2589153		1833813		2384554	
  207.0879		5496380		2589257		1873479		2386599	
  207.2882		5492565		2590982		1822727		2382993	
  207.4848		5498679		2592079		1853242		2384877	
  207.6866		5500352		2588996		1863038		2382993	
  207.8837		5493714		2593229		1895061		2385738	
  208.0836		5500195		2588474		1894738		2386653	
  208.2800		5490265		2590616		1852489		2383692	
  208.4818		5499411		2590303		1927783		2388483	
  208.6772		5493610		2589728		1904910		2378903	
  208.8771		5498104		2590303		1899366		2392465	
  209.0751		5505264		2591452		1855503		2388052	
  209.2752		5494498		2590407		1820036		2384823	
  209.4723		5496223		2590198		1852758		2387406	
  209.6688		5491572		2591504		1849152		2384069	
  209.8694		5484099		2591504		1917934		2385576	
  210.0654		5483628		2590564		1830477		2387729	
  210.2669		5498732		2589989		1902165		2383692	
  210.4667		5497321		2589728		1809756		2383370	
  210.6638		5494655		2590146		1881175		2387137	
  210.8601		5498784		2589676		1832091		2388913	
  211.0641		5495596		2591296		1880153		2389182	
  211.2577		5500561		2590459		1820951		2389613	
  211.4581		5489011		2590093		1926868		2388698	
  211.6551		5491049		2591609		1931766		2386545	
  211.8556		5500299		2590512		1836773		2388267	
  212.0522		5492356		2592184		1887687		2385307	
  212.2524		5497216		2591296		1888333		2388160	
  212.4490		5494446		2590668		1890271		2383962	
  212.6504		5493192		2590459		1823695		2384661	
  212.8474		5496275		2591504		1876385		2386384	
  213.0476		5496641		2590512		1871380		2385899	
  213.2446		5489952		2590146		1826817		2385038	
  213.4448		5491311		2591139		1860992		2381755	
  213.6412		5498470		2590878		1821004		2388052	
  213.8399		5503592		2593229		1885965		2384177	
  214.0382		5484726		2591609		1879560		2385522	
  214.2361		5498784		2590773		1846138		2389667	
  214.4357		5496066		2590198		1793879		2384554	
  214.6321		5494916		2591191		1865944		2379333	
  214.8363		5497843		2591452		1866428		2381970	
  215.0303		5497321		2591923		1826117		2385469	
  215.2303		5497530		2593125		1878430		2384984	
  215.4278		5497477		2588160		1816107		2384231	
  215.6277		5494498		2591348		1880314		2387299	
  215.8244		5491676		2591609		1842909		2386760	
  216.0251		5486032		2590616		1760295		2387191	
  216.2217		5500926		2591766		1853781		2386222	
  216.4230		5499307		2591191		1898774		2386168	
  216.6188		5489586		2587794		1827839		2381432	
  216.8197		5498261		2591557		1892908		2389290	
  217.0163		5496746		2589414		1869819		2389559	
  217.2167		5509027		2589885		1860508		2386653	
  217.4139		5495753		2591243		1814277		2379764	
  217.6137		5487234		2590512		1874663		2384069	
  217.8108		5497007		2586435		1794955		2390743	
  218.0072		5496902		2591662		1798185		2383854	
  218.2077		5499150		2592811		1848883		2391443	
  218.4054		5492565		2589937		1811424		2385845	
  218.6061		5515559		2592184		1923424		2384823	
  218.8027		5494133		2590930		1782308		2385146	
  219.0029		5491154		2593647		1907170		2386653	
  219.2008		5496955		2592289		1898343		2385953	
  219.4013		5497686		2592498		1811532		2385146	
  219.5970		5505996		2589989		1809702		2382455	
  219.7982		5498209		2592393		1889086		2380248	
  219.9946		5493035		2591348		1861315		2387514	
  220.1945		5499934		2592027		1868689		2380786	
  220.3913		5498993		2592289		1799046		2385792	
  220.5927		5496119		2588630		1885158		2386653	
  220.7892		5499777		2590198		1832522		2383692	
  220.9896		5493610		2591348		1843716		2387029	
  221.1860		5490579		2591243		1881982		2384607	
  221.3863		5489847		2587480		1895706		2386922	
  221.5842		5493297		2591609		1849044		2386384	
  221.7834		5501449		2590407		1833006		2382993	
  221.9916		5495125		2592811		1810402		2384931	
  222.1805		5489847		2591243		1897913		2383746	
  222.3776		5478925		2589414		1827624		2386330	
  222.5752		5497843		2591923		1895760		2384500	
  222.7759		5495648		2591034		1868312		2381271	
  222.9720		5500926		2591348		1814869		2385146	
  223.1722		5499045		2590512		1828701		2384661	
  223.3698		5491676		2591557		1819605		2387299	
  223.5702		5496537		2590093		1809971		2387299	
  223.7667		5492356		2592445		1838173		2383962	
  223.9694		5496693		2594640		1808034		2383908	
  224.1644		5504271		2591609		1839787		2383692	
  224.3728		5490213		2593543		1870949		2384446	
  224.5612		5498209		2589519		1837635		2387406	
  224.7617		5498209		2591400		1800983		2383423	
  224.9583		5491467		2590930		1872833		2390743	
  225.1584		5494760		2591191		1849313		2386330	
  225.3551		5497321		2589728		1874394		2387137	
  225.5561		5488436		2591609		1875847		2386007	
  225.7532		5489586		2588944		1863630		2385199	
  225.9535		5499672		2591714		1830154		2385845	
  226.1504		5492722		2588944		1819874		2391389	
  226.3519		5491520		2590251		1844093		2386814	
  226.5529		5487966		2589885		1871595		2384177	
  226.7464		5499620		2591452		1820197		2385792	
  226.9456		5490213		2591034		1866428		2384338	
  227.1419		5493714		2589728		1844308		2387890	
  227.3423		5490109		2592184		1885750		2388214	
  227.5385		5496485		2592550		1888225		2384661	
  227.7423		5495700		2590355		1865298		2386707	
  227.9411		5491676		2589832		1887257		2388052	
  228.1366		5501763		2591714		1799315		2387944	
  228.3337		5492774		2591400		1762986		2385253	
  228.5340		5490422		2591243		1825041		2388375	
  228.7305		5499777		2590146		1867720		2386760	
  228.9315		5492303		2591818		1844577		2379818	
  229.1288		5495962		2593073		1853781		2384661	
  229.3293		5480336		2591766		1832414		2384769	
  229.5268		5499515		2589571		1863899		2389182	
  229.7267		5497477		2590878		1789950		2386491	
  229.9270		5491781		2593073		1849421		2386814	
  230.1240		5492408		2588735		1811640		2375081	
  230.3206		5480702		2591034		1864222		2386491	
  230.5205		5490265		2588421		1769445		2388644	
  230.7176		5498836		2594588		1804804		2386114	
  230.9181		5495230		2593386		1770467		2386060	
  231.1151		5503801		2593386		1849367		2389828	
  231.3117		5502599		2588160		1886557		2381001	
  231.5124		5501449		2590093		1787367		2386975	
  231.7079		5481851		2589937		1823857		2386545	
  231.9106		5484255		2589676		1864652		2386330	
  232.1062		5497477		2592132		1886127		2386760	
  232.3087		5495648		2591191		1865352		2385899	
  232.5036		5488593		2590146		1855341		2383154	
  232.7069		5497791		2591087		1787367		2387137	
  232.9004		5485457		2592864		1834136		2388536	
  233.1007		5487861		2591504		1809325		2384069	
  233.2978		5495021		2589519		1874447		2384984	
  233.4982		5490683		2592707		1799261		2384123	
  233.6948		5495700		2592393		1835751		2384123	
  233.8951		5499150		2592445		1877192		2381916	
  234.0917		5478716		2587794		1892693		2386707	
  234.2935		5498418		2589310		1853135		2385038	
  234.4891		5507877		2592184		1860992		2384554	
  234.6907		5497686		2590721		1802221		2386922	
  234.8868		5496955		2593543		1867020		2379818	
  235.0866		5494289		2591870		1908193		2386491	
  235.2838		5498052		2591714		1840810		2386491	
  235.4828		5490892		2592864		1792049		2383154	
  235.6819		5493662		2590041		1863522		2385845	
  235.8781		5496275		2591870		1838550		2388644	
  236.0784		5493714		2590616		1853888		2384607	
  236.2785		5490788		2592289		1895545		2386168	
  236.4766		5498941		2590982		1875362		2387191	
  236.6746		5490892		2591662		1870734		2386760	
  236.8742		5502860		2589519		1852973		2386545	
  237.0717		5495753		2593125		1828485		2384715	
  237.2725		5494237		2591504		1836666		2383800	
  237.4678		5492669		2591609		1873479		2386707	
  237.6686		5487234		2591975		1829185		2382670	
  237.8646		5490109		2591191		1914328		2380033	
  238.0653		5501501		2590564		1792264		2384446	
  238.2617		5502233		2589571		1885373		2383531	
  238.4621		5494080		2590721		1797700		2388536	
  238.6614		5491624		2591348		1866482		2390635	
  238.8594		5490213		2590407		1825794		2384123	
  239.0581		5491676		2590355		1808249		2388644	
  239.2571		5505264		2591296		1828808		2386114	
  239.4543		5480231		2586749		1865460		2383370	
  239.6506		5498523		2591504		1869873		2385522	
